date,portfolio,cumulative_return
2022-03-24,Equal Weight,1.266434053740288
2022-03-25,Equal Weight,1.2609458299052787
2022-03-28,Equal Weight,1.233674075112492
2022-03-29,Equal Weight,1.262867252527562
2022-03-30,Equal Weight,1.266635893114802
2022-03-31,Equal Weight,1.275649030971926
2022-04-01,Equal Weight,1.3204050281908621
2022-04-04,Equal Weight,1.333186327533702
2022-04-05,Equal Weight,1.3212936171260043
2022-04-06,Equal Weight,1.3451267966685045
2022-04-07,Equal Weight,1.3167907575407818
2022-04-08,Equal Weight,1.28318029200309
2022-04-12,Equal Weight,1.240563390874879
2022-04-13,Equal Weight,1.2775257993667597
2022-04-14,Equal Weight,1.2682300281369128
2022-04-15,Equal Weight,1.250907822362283
2022-04-18,Equal Weight,1.2152079339382929
2022-04-19,Equal Weight,1.1651309710550546
2022-04-20,Equal Weight,1.1364168396515826
2022-04-21,Equal Weight,1.1194435271875292
2022-04-22,Equal Weight,1.143244243061964
2022-04-25,Equal Weight,1.024684873740728
2022-04-26,Equal Weight,1.0802457905224978
2022-04-27,Equal Weight,1.0932845993921432
2022-04-28,Equal Weight,1.0822190564346483
2022-04-29,Equal Weight,1.1048113238887591
2022-05-04,Equal Weight,1.07268372375299
2022-05-05,Equal Weight,1.097677008798628
2022-05-06,Equal Weight,1.0365236067074637
2022-05-09,Equal Weight,0.9350861185559258
2022-05-10,Equal Weight,0.9787976834406888
2022-05-11,Equal Weight,0.9877237282370466
2022-05-12,Equal Weight,0.8786193216589631
2022-05-13,Equal Weight,0.7892624094539324
2022-05-16,Equal Weight,0.7786643529557804
2022-05-17,Equal Weight,0.8790140721637598
2022-05-18,Equal Weight,0.9001557112206371
2022-05-19,Equal Weight,0.8952678558030533
2022-05-20,Equal Weight,0.8940645367265225
2022-05-23,Equal Weight,0.8516747355244396
2022-05-24,Equal Weight,0.8854027763734498
2022-05-25,Equal Weight,0.9448046818732387
2022-05-26,Equal Weight,0.9446239735873396
2022-05-27,Equal Weight,0.9715491776573153
2022-05-30,Equal Weight,0.9842250341307164
2022-05-31,Equal Weight,0.9784816429118395
2022-06-01,Equal Weight,0.9815385759138198
2022-06-02,Equal Weight,0.9645099341570598
2022-06-03,Equal Weight,0.9618954245865847
2022-06-06,Equal Weight,0.9621891368369571
2022-06-07,Equal Weight,0.9602258368025376
2022-06-08,Equal Weight,0.997541081083194
2022-06-09,Equal Weight,0.9978108350736072
2022-06-10,Equal Weight,0.9627788506075525
2022-06-13,Equal Weight,0.8604863764893222
2022-06-14,Equal Weight,0.8564069514413164
2022-06-15,Equal Weight,0.8276224977304558
2022-06-16,Equal Weight,0.8621738886302805
2022-06-17,Equal Weight,0.8221369164621439
2022-06-20,Equal Weight,0.7663518869261559
2022-06-21,Equal Weight,0.7605265365760887
2022-06-22,Equal Weight,0.7785831900170124
2022-06-23,Equal Weight,0.8144492860714911
2022-06-24,Equal Weight,0.8077015342992144
2022-06-27,Equal Weight,0.8332730381758007
2022-06-28,Equal Weight,0.8730637215593307
2022-06-29,Equal Weight,0.8726347025472072
2022-06-30,Equal Weight,0.8350328927985231
2022-07-01,Equal Weight,0.8453450596640282
2022-07-04,Equal Weight,0.8514657841101294
2022-07-05,Equal Weight,0.8407347258764801
2022-07-06,Equal Weight,0.7936986295136339
2022-07-07,Equal Weight,0.820865648356188
2022-07-08,Equal Weight,0.8235443652745302
2022-07-11,Equal Weight,0.7934247661831813
2022-07-12,Equal Weight,0.8234240632358849
2022-07-13,Equal Weight,0.8294167468310121
2022-07-14,Equal Weight,0.8437339838921702
2022-07-15,Equal Weight,0.8367427222219077
2022-07-18,Equal Weight,0.832287114394274
2022-07-19,Equal Weight,0.832866999587996
2022-07-20,Equal Weight,0.8609068433600564
2022-07-21,Equal Weight,0.8731774326604285
2022-07-22,Equal Weight,0.8691969668336454
2022-07-25,Equal Weight,0.8563579299473194
2022-07-26,Equal Weight,0.8517872203520631
2022-07-27,Equal Weight,0.8628068331059564
2022-07-28,Equal Weight,0.8995201799396204
2022-07-29,Equal Weight,0.8983050667442494
2022-08-01,Equal Weight,0.9445061220824666
2022-08-02,Equal Weight,0.9552147669408999
2022-08-03,Equal Weight,0.9639819084592327
2022-08-04,Equal Weight,0.971619407343244
2022-08-05,Equal Weight,0.9661012827977133
2022-08-08,Equal Weight,0.9700089278874087
2022-08-09,Equal Weight,0.9711872810368878
2022-08-10,Equal Weight,0.9625575138151994
2022-08-11,Equal Weight,0.9588843813001184
2022-08-12,Equal Weight,0.97605984928293
2022-08-15,Equal Weight,1.0013109033652525
2022-08-16,Equal Weight,0.999835758345655
2022-08-17,Equal Weight,0.9990832381470531
2022-08-18,Equal Weight,0.9980893213598501
2022-08-19,Equal Weight,0.990644706769823
2022-08-22,Equal Weight,0.9805338726552115
2022-08-23,Equal Weight,0.997740536909888
2022-08-24,Equal Weight,1.0017100746646856
2022-08-25,Equal Weight,1.0268665148282734
2022-08-26,Equal Weight,1.0159701701923383
2022-08-29,Equal Weight,0.9963512851885175
2022-08-30,Equal Weight,1.0098721241055997
2022-08-31,Equal Weight,1.0133396723953982
2022-09-05,Equal Weight,1.0052902549542768
2022-09-06,Equal Weight,1.0064406826409646
2022-09-07,Equal Weight,0.9523239381069379
2022-09-08,Equal Weight,0.9322454623751153
2022-09-09,Equal Weight,0.9504441445551557
2022-09-12,Equal Weight,0.9502452342844121
2022-09-13,Equal Weight,0.9486792107111122
2022-09-14,Equal Weight,0.9307043323405304
2022-09-15,Equal Weight,0.9347551956527351
2022-09-16,Equal Weight,0.9142961164964347
2022-09-19,Equal Weight,0.8658154182487698
2022-09-20,Equal Weight,0.8910322305334129
2022-09-21,Equal Weight,0.8757344952320445
2022-09-22,Equal Weight,0.8807940554761378
2022-09-23,Equal Weight,0.8631883034498917
2022-09-26,Equal Weight,0.8153669754553801
2022-09-27,Equal Weight,0.8131707871982365
2022-09-28,Equal Weight,0.7798790270299933
2022-09-29,Equal Weight,0.7524039322108587
2022-09-30,Equal Weight,0.7674602307372829
2022-10-03,Equal Weight,0.6891141127313762
2022-10-04,Equal Weight,0.6734001385758153
2022-10-05,Equal Weight,0.7100580335302613
2022-10-06,Equal Weight,0.6534610294106473
2022-10-07,Equal Weight,0.5857105272479848
2022-10-10,Equal Weight,0.5915259217115498
2022-10-11,Equal Weight,0.5237430953103175
2022-10-12,Equal Weight,0.5826400829838547
2022-10-13,Equal Weight,0.6124588166713878
2022-10-14,Equal Weight,0.635487701678221
2022-10-17,Equal Weight,0.6235421655003972
2022-10-18,Equal Weight,0.6390072556855368
2022-10-19,Equal Weight,0.631145501408769
2022-10-20,Equal Weight,0.6272945580833438
2022-10-21,Equal Weight,0.5574971748183817
2022-10-24,Equal Weight,0.496772164193537
2022-10-25,Equal Weight,0.5256610694485038
2022-10-26,Equal Weight,0.5262253155206817
2022-10-27,Equal Weight,0.5937096128299488
2022-10-28,Equal Weight,0.5956162987063718
2022-10-31,Equal Weight,0.6030010323500576
2022-11-01,Equal Weight,0.6224963196951323
2022-11-02,Equal Weight,0.6023723863218773
2022-11-03,Equal Weight,0.6009742864990617
2022-11-04,Equal Weight,0.5669307752005746
2022-11-07,Equal Weight,0.5251731987035204
2022-11-08,Equal Weight,0.5527965807488053
2022-11-09,Equal Weight,0.5613083014216032
2022-11-10,Equal Weight,0.49432351684597853
2022-11-11,Equal Weight,0.5116478572510341
2022-11-14,Equal Weight,0.49295195817568227
2022-11-15,Equal Weight,0.44038300297404165
2022-11-16,Equal Weight,0.5107085973273862
2022-11-17,Equal Weight,0.5631309346624922
2022-11-18,Equal Weight,0.5669649846352425
2022-11-21,Equal Weight,0.5533023735343041
2022-11-22,Equal Weight,0.5440224533076439
2022-11-23,Equal Weight,0.5399100018979823
2022-11-24,Equal Weight,0.5491738494841847
2022-11-25,Equal Weight,0.5952356202219529
2022-11-28,Equal Weight,0.6583585910363239
2022-11-29,Equal Weight,0.6908535825599913
2022-11-30,Equal Weight,0.7154661490964622
2022-12-01,Equal Weight,0.7070715411840094
2022-12-02,Equal Weight,0.7856352777079714
2022-12-05,Equal Weight,0.8215652604796626
2022-12-06,Equal Weight,0.73324676782483
2022-12-07,Equal Weight,0.7184795828471215
2022-12-08,Equal Weight,0.7524461137453549
2022-12-09,Equal Weight,0.7600267446033551
2022-12-12,Equal Weight,0.7228522149481509
2022-12-13,Equal Weight,0.756036123011272
2022-12-14,Equal Weight,0.7563626974128264
2022-12-15,Equal Weight,0.7708231916473398
2022-12-16,Equal Weight,0.7646454585777798
2022-12-19,Equal Weight,0.7456899859843553
2022-12-20,Equal Weight,0.7102987260290152
2022-12-21,Equal Weight,0.714001313438428
2022-12-22,Equal Weight,0.7264353982538334
2022-12-23,Equal Weight,0.7174450118134728
2022-12-26,Equal Weight,0.6436694634920095
2022-12-27,Equal Weight,0.6815040547365891
2022-12-28,Equal Weight,0.6994685045655262
2022-12-29,Equal Weight,0.6824845243541249
2022-12-30,Equal Weight,0.678425618825568
2023-01-03,Equal Weight,0.7488072378251942
2023-01-04,Equal Weight,0.7559783233232265
