date,ticker,drawdown
2021-04-05,MWG,-0.03855637749383545
2021-04-06,MWG,-0.04438466711499667
2021-04-07,MWG,-0.03564223268325495
2021-04-08,MWG,-0.03922887245012341
2021-04-09,MWG,-0.04438466711499667
2021-04-12,MWG,-0.03295225285810366
2021-04-13,MWG,-0.03295225285810366
2021-04-14,MWG,-0.02936561309123531
2021-04-15,MWG,-0.04147052230441628
2021-04-16,MWG,-0.03922887245012341
2021-04-19,MWG,-0.015019054023761691
2021-04-20,MWG,0.0
2021-04-22,MWG,0.0
2021-04-23,MWG,0.0
2021-04-26,MWG,-0.033919864320542725
2021-04-27,MWG,-0.03794784820860708
2021-04-28,MWG,-0.05087979648081398
2021-04-29,MWG,-0.04473182107271556
2021-05-04,MWG,-0.054907780368878445
2021-05-05,MWG,-0.04473182107271545
2021-05-06,MWG,-0.03731185075259702
2021-05-07,MWG,-0.0493958024167902
2021-05-10,MWG,-0.06359974560101755
2021-05-11,MWG,-0.06783972864108545
2021-05-12,MWG,-0.05427178291286838
2021-05-13,MWG,-0.05087979648081398
2021-05-14,MWG,-0.033919864320542614
2021-05-17,MWG,-0.040703837184651204
2021-05-18,MWG,-0.03921984312062743
2021-05-19,MWG,-0.03921984312062743
2021-05-20,MWG,0.0
2021-05-21,MWG,-0.03064415259537212
2021-05-24,MWG,-0.0266833437565146
2021-05-25,MWG,-0.0266833437565146
2021-05-26,MWG,-0.03397957056493639
2021-05-27,MWG,-0.05065666041275796
2021-05-28,MWG,-0.04857202418178008
2021-05-31,MWG,-0.07671461329997897
2021-06-01,MWG,-0.0898478215551386
2021-06-02,MWG,-0.07462997706900132
2021-06-03,MWG,-0.0733791953304147
2021-06-04,MWG,-0.08338544923910785
2021-06-07,MWG,-0.09255784865540961
2021-06-08,MWG,-0.09318323952470298
2021-06-09,MWG,-0.09068167604752986
2021-06-10,MWG,-0.09797790285595165
2021-06-11,MWG,-0.086720867208672
2021-06-14,MWG,-0.0792161767771522
2021-06-15,MWG,-0.0806754221388365
2021-06-16,MWG,-0.08672086720867189
2021-06-17,MWG,-0.0733791953304147
2021-06-18,MWG,-0.060037523452157515
2021-06-21,MWG,-0.027934125495101103
2021-06-22,MWG,-0.0266833437565146
2021-06-23,MWG,-0.04002501563477179
2021-06-24,MWG,-0.04002501563477179
2021-06-25,MWG,-0.041901188242651655
2021-06-28,MWG,-0.03001876172607887
2021-06-29,MWG,-0.02001250781738595
2021-06-30,MWG,0.0
2021-07-01,MWG,-0.005965850648014803
2021-07-02,MWG,0.0
2021-07-05,MWG,0.0
2021-07-06,MWG,-0.06910798122065731
2021-07-07,MWG,-0.004319248826290867
2021-07-08,MWG,0.0
2021-07-09,MWG,0.0
2021-07-12,MWG,0.0
2021-07-13,MWG,-0.009029745042492765
2021-07-14,MWG,-0.05718838526912162
2021-07-15,MWG,-0.053824362606232135
2021-07-16,MWG,-0.048158640226628746
2021-07-19,MWG,-0.11384560906515562
2021-07-20,MWG,-0.06798866855524033
2021-07-21,MWG,-0.07471671388101941
2021-07-22,MWG,-0.06462464589235095
2021-07-23,MWG,-0.08445467422096276
2021-07-26,MWG,-0.09224504249291743
2021-07-27,MWG,-0.10534702549575037
2021-07-28,MWG,-0.11048158640226602
2021-07-29,MWG,-0.07808073654390901
2021-07-30,MWG,-0.07082152974504219
2021-08-02,MWG,-0.037889518413597334
2021-08-03,MWG,-0.037889518413597334
2021-08-04,MWG,-0.037358356940509596
2021-08-05,MWG,-0.02036118980169932
2021-08-06,MWG,-0.028859773371104347
2021-08-09,MWG,-0.015934844192634023
2021-08-10,MWG,-0.01522662889518367
2021-08-11,MWG,-0.009029745042492432
2021-08-12,MWG,-0.037358356940509374
2021-08-13,MWG,-0.0316926345609061
2021-08-16,MWG,-0.036827195467421636
2021-08-17,MWG,-0.03788951841359722
2021-08-18,MWG,-0.023194050991500847
2021-08-19,MWG,-0.023194050991500847
2021-08-20,MWG,-0.0713526912181296
2021-08-23,MWG,-0.10481586402266219
2021-08-24,MWG,-0.09118271954674173
2021-08-25,MWG,-0.08551699716713834
2021-08-26,MWG,-0.0826841359773367
2021-08-27,MWG,-0.06851983002832829
2021-08-30,MWG,-0.05771954674220936
2021-08-31,MWG,-0.054178470254957145
2021-09-01,MWG,-0.06108356940509874
2021-09-06,MWG,-0.054178470254957145
2021-09-07,MWG,-0.06019830028328588
2021-09-08,MWG,-0.05081444759206766
2021-09-09,MWG,0.0
2021-09-10,MWG,0.0
2021-09-13,MWG,0.0
2021-09-14,MWG,-0.003990024937655878
2021-09-15,MWG,-0.003158769742310774
2021-09-16,MWG,-0.011138819617622642
2021-09-17,MWG,-0.015960099750623513
